turbine_id,health_score,shutdown_ratio,avg_daily_transitions
1,67.57,13.84,15.75
2,80.39,6.35,11.22
3,74.21,8.53,13.76
4,81.85,7.71,10.15
5,66.42,7.15,19.61
6,61.06,17.88,22.26
7,76.11,13.08,11.67
8,62.79,15.37,17.76
9,80.69,15.89,8.68
10,67.76,4.49,18.07
11,63.43,13.13,19.86
12,62.24,53.76,8.44
13,66.98,6.04,22.32
14,61.31,18.69,17.67
15,66.13,7.73,19.5
16,64.95,10.1,19.35
17,68.9,10.9,15.83
18,70.01,4.64,16.84
19,86.51,26.98,2.17
20,88.88,2.78,7.86
21,77.36,5.99,12.82
22,64.63,10.74,19.43
23,73.18,27.7,9.48
24,67.19,6.6,17.76
25,77.96,31.35,6.18
26,69.7,15.4,14.3
27,83.39,7.92,9.33
28,58.95,49.3,11.2
29,82.09,8.64,9.8
30,72.65,10.89,13.95
31,67.44,5.11,23.87
32,69.84,15.24,14.27
33,66.32,7.37,18.47
34,67.72,4.56,19.49
35,71.72,5.14,15.85
36,56.33,50.14,12.3
37,69.37,49.45,5.95
38,51.93,42.81,16.33
39,67.46,5.08,18.52
40,67.2,5.6,20.58
41,67.38,5.49,17.94
42,75.77,13.47,11.75
43,75.04,3.22,14.68
44,75.14,5.21,14.13
45,64.82,10.37,18.22
46,61.21,17.58,20.64
47,66.15,7.71,18.79
48,57.54,46.92,12.5
49,71.14,13.98,13.93
50,76.07,6.9,13.24
51,72.34,4.99,15.58
52,71.81,9.74,14.66
53,53.67,32.66,19.38
54,59.11,29.57,16.05
55,61.44,26.61,15.63
56,57.96,24.07,18.38
57,61.93,16.13,23.01
58,62.41,15.18,22.66
59,67.23,5.54,20.47
60,66.6,11.9,16.73
61,61.49,17.02,18.79
62,57.89,24.22,18.88
63,53.16,34.65,17.76
64,50.6,39.91,17.72
65,61.31,17.37,31.28
66,63.37,13.27,19.4
67,63.05,13.89,19.11
68,62.17,15.65,21.74
69,60.95,24.88,16.3
70,60.12,19.76,19.26
71,60.36,19.27,20.19
72,63.47,19.31,16.44
73,54.26,47.08,14.1
74,56.84,26.32,18.52
