turbine_id,month,transitions
1,2025-01,440
1,2025-02,156
1,2025-05,642
1,2025-06,1075
1,2025-07,1746
1,2025-08,458
1,2025-09,367
1,2025-10,102
1,2025-11,253
10,2025-06,1485
10,2025-07,2238
10,2025-08,1606
10,2025-09,369
10,2025-10,243
11,2025-05,383
11,2025-06,2098
11,2025-07,2497
11,2025-08,1078
11,2025-09,368
11,2025-11,163
12,2025-06,737
12,2025-07,910
12,2025-08,602
12,2025-09,282
12,2025-11,175
13,2025-05,566
13,2025-06,2781
13,2025-07,2268
13,2025-08,1288
13,2025-09,374
13,2025-11,121
14,2025-05,635
14,2025-06,2124
14,2025-07,2401
14,2025-09,383
14,2025-10,193
14,2025-11,116
15,2025-05,282
15,2025-06,1861
15,2025-07,2349
15,2025-08,1626
15,2025-09,349
16,2025-05,359
16,2025-06,2152
16,2025-07,1944
16,2025-08,1289
16,2025-09,430
16,2025-11,206
17,2025-06,1981
17,2025-07,2171
17,2025-08,500
17,2025-09,456
18,2025-06,1419
18,2025-07,2309
18,2025-08,954
18,2025-09,376
18,2025-10,333
18,2025-11,235
19,2025-07,339
19,2025-08,211
19,2025-09,114
2,2025-05,365
2,2025-06,1070
2,2025-07,1054
2,2025-08,1067
2,2025-09,145
20,2025-06,358
20,2025-07,1348
20,2025-08,599
20,2025-09,258
21,2025-06,1320
21,2025-07,1320
21,2025-08,781
21,2025-09,364
21,2025-10,294
21,2025-11,208
22,2025-05,425
22,2025-06,2496
22,2025-07,2692
22,2025-09,359
22,2025-10,258
22,2025-11,185
23,2025-06,2083
23,2025-07,693
23,2025-08,185
23,2025-09,101
24,2025-06,1957
24,2025-07,2460
24,2025-08,678
24,2025-09,251
24,2025-10,320
24,2025-11,219
25,2025-06,1502
25,2025-07,457
26,2025-05,553
26,2025-06,1800
26,2025-07,1661
26,2025-09,290
26,2025-10,259
26,2025-11,155
27,2025-06,466
27,2025-07,759
27,2025-08,1237
27,2025-09,383
27,2025-10,190
28,2025-06,957
28,2025-07,1333
28,2025-08,815
28,2025-09,341
28,2025-10,196
29,2025-06,297
29,2025-07,1339
29,2025-08,1085
29,2025-09,364
29,2025-10,163
3,2025-06,1363
3,2025-07,1654
3,2025-08,795
3,2025-09,303
3,2025-10,300
3,2025-11,194
30,2025-06,1372
30,2025-07,1842
30,2025-08,824
30,2025-09,385
30,2025-10,121
30,2025-11,129
31,2025-06,2689
31,2025-07,3059
31,2025-08,1375
31,2025-09,328
31,2025-10,309
31,2025-11,227
32,2025-06,1381
32,2025-07,2500
32,2025-09,288
32,2025-10,259
32,2025-11,241
33,2025-05,193
33,2025-06,2288
33,2025-07,2100
33,2025-08,837
33,2025-09,230
33,2025-10,302
33,2025-11,236
34,2025-06,1882
34,2025-07,2476
34,2025-08,1324
34,2025-09,317
34,2025-10,301
34,2025-11,228
35,2025-05,301
35,2025-06,1431
35,2025-07,1695
35,2025-08,1005
35,2025-09,393
35,2025-10,297
35,2025-11,188
36,2025-06,977
36,2025-07,1911
36,2025-08,409
36,2025-09,329
36,2025-10,234
36,2025-11,210
37,2025-07,755
37,2025-08,664
37,2025-09,278
37,2025-10,238
38,2025-05,361
38,2025-06,1295
38,2025-07,1917
38,2025-08,941
38,2025-09,479
38,2025-10,277
38,2025-11,201
39,2025-06,2084
39,2025-07,2589
39,2025-08,1026
39,2025-09,335
39,2025-10,136
4,2025-06,691
4,2025-07,1801
4,2025-08,224
4,2025-09,192
4,2025-10,257
4,2025-11,230
40,2025-05,288
40,2025-06,2207
40,2025-07,1957
40,2025-08,1571
40,2025-09,404
40,2025-10,272
40,2025-11,193
41,2025-06,1952
41,2025-07,2218
41,2025-08,1006
41,2025-09,390
41,2025-10,229
41,2025-11,210
42,2025-06,966
42,2025-07,1892
42,2025-08,754
42,2025-09,246
43,2025-06,1116
43,2025-07,1595
43,2025-08,1476
43,2025-09,435
43,2025-10,199
44,2025-05,492
44,2025-06,1242
44,2025-07,1719
44,2025-08,352
44,2025-09,414
44,2025-10,289
44,2025-11,223
45,2025-05,364
45,2025-06,2282
45,2025-07,2123
45,2025-08,747
45,2025-09,215
45,2025-10,190
45,2025-11,178
46,2025-05,620
46,2025-06,2350
46,2025-07,2445
46,2025-08,910
46,2025-09,261
46,2025-10,102
46,2025-11,226
47,2025-06,1866
47,2025-07,2883
47,2025-08,939
47,2025-09,379
47,2025-10,162
48,2025-06,1265
48,2025-07,1318
48,2025-08,843
48,2025-09,401
48,2025-10,208
48,2025-11,145
49,2025-06,1522
49,2025-07,1585
49,2025-08,890
49,2025-09,398
49,2025-11,216
5,2025-05,504
5,2025-06,1850
5,2025-07,2238
5,2025-08,1251
5,2025-09,234
5,2025-10,331
5,2025-11,161
50,2025-05,168
50,2025-06,1549
50,2025-07,1852
50,2025-08,144
50,2025-09,335
50,2025-10,213
50,2025-11,174
51,2025-06,1529
51,2025-07,1558
51,2025-08,1419
51,2025-09,447
51,2025-10,183
52,2025-05,681
52,2025-06,1617
52,2025-07,1817
52,2025-08,347
52,2025-09,229
52,2025-11,186
53,2025-05,635
53,2025-06,1721
53,2025-07,1785
53,2025-08,1073
53,2025-09,949
53,2025-10,146
53,2025-11,172
54,2025-05,264
54,2025-06,1432
54,2025-07,2017
54,2025-08,822
54,2025-09,316
54,2025-10,297
54,2025-11,210
55,2025-05,484
55,2025-06,1486
55,2025-07,1896
55,2025-08,648
55,2025-09,366
55,2025-10,272
56,2025-05,253
56,2025-06,1653
56,2025-07,1745
56,2025-08,1626
56,2025-09,662
56,2025-10,125
57,2025-05,582
57,2025-06,3069
57,2025-07,2336
57,2025-08,298
57,2025-09,1292
58,2025-01,1632
58,2025-02,167
58,2025-03,148
58,2025-05,715
58,2025-06,1472
58,2025-07,1939
58,2025-08,365
58,2025-09,780
58,2025-10,170
58,2025-11,199
59,2025-01,542
59,2025-02,128
59,2025-05,743
59,2025-06,1918
59,2025-07,1670
59,2025-08,485
59,2025-09,909
59,2025-10,226
59,2025-11,199
6,2025-01,105
6,2025-02,204
6,2025-05,1010
6,2025-06,2610
6,2025-07,2571
6,2025-09,353
6,2025-10,259
6,2025-11,178
60,2025-01,590
60,2025-02,113
60,2025-05,517
60,2025-06,1628
60,2025-07,1815
60,2025-08,143
60,2025-09,396
60,2025-10,230
61,2025-02,191
61,2025-05,602
61,2025-06,1311
61,2025-07,2028
61,2025-08,1262
61,2025-09,367
61,2025-10,259
61,2025-11,149
62,2025-05,609
62,2025-06,1752
62,2025-07,1833
62,2025-08,1200
62,2025-09,431
62,2025-10,241
62,2025-11,223
63,2025-05,585
63,2025-06,1694
63,2025-07,2196
63,2025-08,279
63,2025-09,874
63,2025-10,111
63,2025-11,161
64,2025-05,648
64,2025-06,1351
64,2025-07,1285
64,2025-08,1221
64,2025-09,914
64,2025-10,222
64,2025-11,214
65,2025-01,761
65,2025-02,234
65,2025-05,840
65,2025-06,2360
65,2025-07,2954
65,2025-08,1899
65,2025-09,1155
65,2025-11,216
66,2025-01,201
66,2025-02,112
66,2025-05,638
66,2025-06,1649
66,2025-07,1827
66,2025-08,1075
66,2025-09,865
66,2025-10,105
67,2025-01,700
67,2025-02,139
67,2025-05,307
67,2025-06,1480
67,2025-07,1689
67,2025-08,1151
67,2025-09,889
68,2025-01,936
68,2025-02,216
68,2025-05,744
68,2025-06,1583
68,2025-07,1643
68,2025-08,923
68,2025-09,779
68,2025-10,217
68,2025-11,182
69,2025-01,298
69,2025-02,110
69,2025-05,772
69,2025-06,1182
69,2025-07,1873
69,2025-08,156
69,2025-09,790
69,2025-11,211
7,2025-06,683
7,2025-07,2418
7,2025-08,215
7,2025-09,340
7,2025-10,174
70,2025-01,268
70,2025-02,128
70,2025-05,915
70,2025-06,1755
70,2025-07,2029
70,2025-08,167
70,2025-09,924
70,2025-11,174
71,2025-01,173
71,2025-02,208
71,2025-05,765
71,2025-06,1553
71,2025-07,2350
71,2025-08,182
71,2025-09,1224
71,2025-11,168
72,2025-01,300
72,2025-02,122
72,2025-05,669
72,2025-06,1564
72,2025-07,2128
72,2025-08,257
72,2025-09,306
73,2025-06,1191
73,2025-07,1834
73,2025-08,556
73,2025-09,903
73,2025-11,103
74,2025-01,804
74,2025-02,133
74,2025-05,623
74,2025-06,1376
74,2025-07,1878
74,2025-08,184
74,2025-09,959
74,2025-11,156
8,2025-01,511
8,2025-02,142
8,2025-05,597
8,2025-06,1433
8,2025-07,1803
8,2025-08,524
8,2025-09,383
8,2025-10,294
8,2025-11,215
9,2025-06,345
9,2025-07,1938
9,2025-08,151
9,2025-09,416
