turbine_id,total_hours,power_gen_hours,power_gen_percentage,shutdown_hours,shutdown_percentage,status_transitions,records_count,health_score,shutdown_ratio,avg_daily_transitions
40,8038.79,6486.7,80.69249227806672,450.43999999999994,5.603330849543276,6892,6893,67.2,5.6,20.58
47,8038.91,5384.06,66.97500034208619,619.7,7.708756535400944,6293,6294,66.15,7.71,18.79
59,8038.620000000001,4848.43,60.314208160107086,445.68,5.544235204550034,6855,6856,67.23,5.54,20.47
68,8037.76,4820.59,59.97429632136316,1257.98,15.650877856517239,7282,7283,62.17,15.65,21.74
8,8039.079999999999,4553.75,56.64516337690383,1235.75,15.371783835961331,5949,5950,62.79,15.37,17.76
65,8038.110000000001,4481.110000000001,55.748304016740256,1396.4899999999998,17.37336264370604,10479,10480,61.31,17.37,31.28
58,8038.1799999999985,4419.14,54.976872874207864,1219.9399999999998,15.176818633073658,7591,7592,62.41,15.18,22.66
61,8038.34,4396.3,54.69164031379613,1368.33,17.022544455696075,6292,6293,61.49,17.02,18.79
25,8039.6,4264.55,53.04430568685009,2520.35,31.349196477436685,2070,2071,77.96,31.35,6.18
60,8039.04,4207.28,52.33560226096648,956.39,11.896818525595096,5602,5603,66.6,11.9,16.73
66,6974.990000000001,3639.29,52.17627552154196,925.45,13.268119380816316,6498,6499,63.37,13.27,19.4
1,8039.0,4074.01,50.67806941161837,1112.97,13.844632416967285,5276,5277,67.57,13.84,15.75
74,8038.560000000001,3878.4700000000003,48.24831810672558,2115.77,26.320261340339556,6202,6203,56.84,26.32,18.52
69,8038.7699999999995,3801.96,47.295295175754504,2000.3999999999996,24.884403957321826,5460,5461,60.95,24.88,16.3
67,8038.709999999999,3796.8500000000004,47.23208076917815,1116.96,13.894766697641789,6401,6402,63.05,13.89,19.11
62,8038.669999999999,3774.1800000000003,46.95030396819375,1947.29,24.22403208490957,6324,6325,57.89,24.22,18.88
70,8038.45,3672.29,45.684056005822015,1588.61,19.762640807618386,6451,6452,60.12,19.76,19.26
57,7930.909999999999,3584.21,45.1929223758686,1279.4,16.13181841680211,7709,7710,61.93,16.13,23.01
38,8039.09,3628.1499999999996,45.131351931624096,3441.29,42.8069594941716,5471,5472,51.93,42.81,16.33
64,8038.7699999999995,3512.83,43.69860065656811,3208.44,39.912076101194586,5936,5937,50.6,39.91,17.72
71,8038.349999999999,3500.83,43.551599519801954,1549.13,19.271741091144328,6761,6762,60.36,19.27,20.19
35,8039.010000000001,3406.8099999999995,42.37847695176395,413.52,5.14391697485138,5310,5311,71.72,5.14,15.85
6,8038.49,3375.3500000000004,41.98985132779913,1437.35,17.880845780737424,7455,7456,61.06,17.88,22.26
54,8039.06,3242.81,40.33817386609877,2377.02,29.568382373063518,5377,5378,59.11,29.57,16.05
21,8039.04,3141.25,39.074939296234376,481.42,5.988525993153412,4295,4296,77.36,5.99,12.82
44,8039.279999999999,3134.7,38.99229781771502,419.13,5.213526584470252,4731,4732,75.14,5.21,14.13
34,8038.95,3104.83,38.62233251855031,366.56000000000006,4.559799476299766,6528,6529,67.72,4.56,19.49
31,8038.250000000001,3102.16,38.59247970640375,410.90999999999997,5.1119335676297695,7995,7996,67.44,5.11,23.87
43,8038.609999999999,3074.25,38.24355205688546,258.55,3.2163520807701835,4916,4917,75.04,3.22,14.68
56,8038.219999999999,3056.9,38.029563759140714,1934.94,24.071747227620047,6155,6156,57.96,24.07,18.38
41,8038.740000000002,3038.12,37.793485048651895,441.16,5.487924724521505,6009,6010,67.38,5.49,17.94
10,8038.62,3031.6600000000003,37.71368717516191,360.76,4.487834976650221,6051,6052,67.76,4.49,18.07
33,8038.8099999999995,3025.11,37.6313160778772,592.4600000000002,7.369996305423318,6186,6187,66.32,7.37,18.47
63,8038.5,2976.71,37.03066492504821,2785.46,34.65148970579088,5948,5949,53.16,34.65,17.76
22,8038.160000000001,2976.34,37.02762821342198,863.13,10.737905192233049,6508,6509,64.63,10.74,19.43
3,8038.77,2960.1899999999996,36.82391709179389,685.77,8.53078269436742,4609,4610,74.21,8.53,13.76
48,8039.29,2959.51,36.81307677668053,3772.28,46.92304917474056,4187,4188,57.54,46.92,12.5
50,8039.3,2945.4700000000003,36.63838891445773,554.4900000000001,6.897242297214932,4435,4436,76.07,6.9,13.24
51,8038.66,2923.9700000000003,36.373848377714694,400.82000000000005,4.986154408819381,5219,5220,72.34,4.99,15.58
24,8038.780000000001,2904.92,36.13632914447217,530.78,6.60274320232672,5947,5948,67.19,6.6,17.76
26,8039.23,2890.51,35.95506037269739,1238.02,15.39973355657196,4789,4790,69.7,15.4,14.3
53,8038.280000000001,2862.24,35.607617550023136,2625.47,32.66208691411595,6492,6493,53.67,32.66,19.38
72,8038.7300000000005,2841.3599999999997,35.34588174997791,1552.4799999999998,19.31250334318978,5505,5506,63.47,19.31,16.44
55,8039.1,2840.5899999999997,35.33467676729982,2139.38,26.612182955803508,5234,5235,61.44,26.61,15.63
16,8038.469999999999,2801.88,34.85588675456897,811.56,10.095951095171095,6480,6481,64.95,10.1,19.35
18,8038.359999999999,2792.9799999999996,34.74564463398006,373.06000000000006,4.640996422155765,5639,5640,70.01,4.64,16.84
36,8039.280000000001,2751.24,34.22246768367316,4030.830000000001,50.139191569394285,4120,4121,56.33,50.14,12.3
5,8038.0199999999995,2744.9800000000005,34.14995235144974,574.9300000000001,7.1526321158693325,6569,6570,66.42,7.15,19.61
28,8035.249999999999,2693.0099999999998,33.51494975265238,3961.7200000000003,49.30425313462556,3751,3752,58.95,49.3,11.2
15,6646.830000000001,2216.3500000000004,33.34446645995159,513.96,7.732407779347448,6530,6531,66.13,7.73,19.5
4,8039.42,2663.49,33.130375076809024,619.81,7.709635769744583,3399,3400,81.85,7.71,10.15
14,8038.92,2659.02,33.07683121613351,1502.3000000000002,18.68783368910252,5919,5920,61.31,18.69,17.67
46,8038.32,2633.2700000000004,32.75895958359459,1413.06,17.579046367897767,6914,6915,61.21,17.58,20.64
12,8032.01,2586.9700000000003,32.20825173275432,4318.03,53.76026673273564,2827,2828,62.24,53.76,8.44
27,8039.220000000001,2587.1099999999997,32.181107122332754,636.4,7.916190874239041,3124,3125,83.39,7.92,9.33
7,8039.26,2551.0099999999998,31.73190069732786,1051.4299999999998,13.078691322335636,3910,3911,76.11,13.08,11.67
13,8038.189999999999,2545.98,31.673548398333462,485.85,6.044271160547338,7476,7477,66.98,6.04,22.32
30,8039.0,2544.17,31.6478417713646,875.8299999999999,10.894763030227638,4673,4674,72.65,10.89,13.95
45,8039.03,2520.1000000000004,31.34830943534233,833.3299999999999,10.366051625631451,6102,6103,64.82,10.37,18.22
11,8038.250000000001,2478.94,30.839299598793268,1055.56,13.131713992473484,6651,6652,63.43,13.13,19.86
32,8038.860000000001,2371.63,29.502068701283513,1225.3300000000002,15.242584147503502,4780,4781,69.84,15.24,14.27
49,8039.32,2348.21,29.209062458018835,1124.2799999999997,13.984764880611792,4666,4667,71.14,13.98,13.93
