设备状态统计_历史状态明细,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
  电场:[三峡阳江海路海风场];  设备类型:风机;  设备:[#43];  查询方式:详情;  开始时间:2025-01-01;  结束时间:2025-12-01,,,,,,,,,
序号,馈线名称,设备名称,型号名称,状态,状态码,开始时间,结束时间,持续时间(s),时长描述(h)
1,L14,#43,GW252/13600,(5)发电状态,5,2025-11-28 13:09:56,2025-12-01 23:59:59,298203,82.83
2,L14,#43,GW252/13600,(4)启机状态,4,2025-11-28 13:09:20,2025-11-28 13:09:56,36,0.01
3,L14,#43,GW252/13600,(3)待机状态,3,2025-11-28 13:08:48,2025-11-28 13:09:20,32,0.01
4,L14,#43,GW252/13600,(2)停机状态,2,2025-11-28 13:06:19,2025-11-28 13:08:48,149,0.04
5,L14,#43,GW252/13600,(1)停机过程,1,2025-11-28 13:06:09,2025-11-28 13:06:19,10,0
6,L14,#43,GW252/13600,(9)维护状态,9,2025-11-28 12:48:53,2025-11-28 13:06:09,1036,0.29
7,L14,#43,GW252/13600,(0)初始化,0,2025-11-28 12:45:53,2025-11-28 12:48:53,180,0.05
8,L14,#43,GW252/13600,(9)维护状态,9,2025-11-28 12:38:14,2025-11-28 12:45:53,459,0.13
9,L14,#43,GW252/13600,(2)停机状态,2,2025-11-28 12:38:07,2025-11-28 12:38:14,7,0
10,L14,#43,GW252/13600,(1)停机过程,1,2025-11-28 12:37:42,2025-11-28 12:38:07,25,0.01
11,L14,#43,GW252/13600,(3)待机状态,3,2025-11-28 12:36:40,2025-11-28 12:37:42,62,0.02
12,L14,#43,GW252/13600,(2)停机状态,2,2025-11-28 12:36:39,2025-11-28 12:36:40,1,0
13,L14,#43,GW252/13600,(1)停机过程,1,2025-11-28 12:36:29,2025-11-28 12:36:39,10,0
14,L14,#43,GW252/13600,(9)维护状态,9,2025-11-28 12:35:10,2025-11-28 12:36:29,79,0.02
15,L14,#43,GW252/13600,(2)停机状态,2,2025-11-28 12:34:26,2025-11-28 12:35:10,44,0.01
16,L14,#43,GW252/13600,(1)停机过程,1,2025-11-28 12:33:37,2025-11-28 12:34:26,49,0.01
17,L14,#43,GW252/13600,(5)发电状态,5,2025-11-25 13:32:49,2025-11-28 12:33:37,255648,71.01
18,L14,#43,GW252/13600,(4)启机状态,4,2025-11-25 13:32:13,2025-11-25 13:32:49,36,0.01
19,L14,#43,GW252/13600,(3)待机状态,3,2025-11-25 13:31:37,2025-11-25 13:32:13,36,0.01
20,L14,#43,GW252/13600,(2)停机状态,2,2025-11-25 13:10:01,2025-11-25 13:31:37,1296,0.36
21,L14,#43,GW252/13600,(1)停机过程,1,2025-11-25 13:09:12,2025-11-25 13:10:01,49,0.01
22,L14,#43,GW252/13600,(5)发电状态,5,2025-11-25 12:59:40,2025-11-25 13:09:12,572,0.16
23,L14,#43,GW252/13600,(4)启机状态,4,2025-11-25 12:59:03,2025-11-25 12:59:40,37,0.01
24,L14,#43,GW252/13600,(3)待机状态,3,2025-11-25 12:58:31,2025-11-25 12:59:03,32,0.01
25,L14,#43,GW252/13600,(2)停机状态,2,2025-11-25 10:46:49,2025-11-25 12:58:31,7902,2.2
26,L14,#43,GW252/13600,(1)停机过程,1,2025-11-25 10:46:01,2025-11-25 10:46:49,48,0.01
27,L14,#43,GW252/13600,(5)发电状态,5,2025-11-24 22:44:29,2025-11-25 10:46:01,43292,12.03
28,L14,#43,GW252/13600,(4)启机状态,4,2025-11-24 22:41:11,2025-11-24 22:44:29,198,0.06
